NPC_PI,NPC_MOOD,PLAYER,NPC,SKLTRN,WoF,MECH,PLANTERA,GLM,LC,ML
positive,happy,What should look out for in caves and dungeons?,"Absolutely! As you explore, keep an eye out for chests hidden in caves and dungeons. They often contain valuable items like weapons, accessories, and even rare crafting materials. Also, defeating powerful enemies like bosses can yield impressive loot, including unique weapons and equipment. Stay vigilant and explore every corner-you never know what treasures await!",0,0,0,0,0,0,0
positive,happy,Is there any dangerous enemies I should watch out for?,"Oh, indeed there are! Terraria is teeming with foes that can catch even seasoned adventurers off guard. Keep an eye out for creatures like Demon Eyes that roam the surface at night, or underground threats like Skeletons and Giant Worms. As you delve deeper, more formidable adversaries such as the Eye of Cthulhu or Skeletron may test your skills. Prepare yourself with armor, weapons, and plenty of healing potions to face these challenges head-on!",0,0,0,0,0,0,0
neutral,neutral,Is this umbrella good?,"Ah, the Umbrella! It's not quite a weapon, but it can be quite handy. It allows you to glide safely down from high places, slowing your fall. It's especially useful for exploring tall structures or descending into deep caves without taking fall damage. While it won't help you in combat, it's definitely a useful accessory to have in certain situations. Keep it handy for when you need a graceful descent!",0,0,0,0,0,0,0
neutral,neutral,Is this umbrella good?,"Ah, the umbrella! It's a fun and quirky weapon in Terraria, but its effectiveness can vary depending on your playstyle and the enemies you're facing. It deals 10 damage, which is decent for early-game enemies, but as you progress, you may find more powerful weapons that suit your needs better. Experiment with it and see how it performs against different foes. Remember, in Terraria, sometimes the best weapon is the one that feels right to you!",0,0,0,0,0,0,0
positive,happy,I notice that some items have different colors. What does that mean?,"Ah, you've stumbled upon a key aspect of Terraria's item rarity system! The color of an item indicates its rarity and, often, its power or usefulness. Here's a quick rundown: White (Common): These are basic items that are easily found throughout the world.Blue (Uncommon): Slightly rarer items with better stats or unique abilities. Green (Rare): Items that are harder to come by and usually provide significant advantages. Yellow (Very Rare): Highly sought-after items that offer substantial benefits or are essential for progression. Orange (Legendary): The rarest and most powerful items, often unique and highly impactful. Keep an eye out for these colors when looting chests, defeating bosses, or crafting gear. They can guide you towards more powerful equipment and help you build a formidable arsenal in your Terraria adventures!",0,0,0,0,0,0,0
positive,happy,This is fun.,"I'm delighted to hear that! Terraria is a world brimming with adventure, discovery, and endless possibilities. Whether you're exploring vast caverns, battling fearsome monsters, or constructing elaborate fortresses, there's always something new to experience. Enjoy the journey, and remember-every triumph and setback is part of what makes Terraria such an exciting game. Happy exploring, adventurer!",0,0,0,0,0,0,0
positive,happy,I think I will explore the right side of the map.,"Excellent choice! The world of Terraria is vast and full of surprises on both sides. As you venture to the right, keep an eye out for new biomes, structures, and challenges to conquer. Who knows what treasures and dangers await beyond the horizon? Take your time, gather resources, and uncover the mysteries that await you. Safe travels, adventurer!",0,0,0,0,0,0,0
neutral,neutral,"I'm off, see you later.","Farewell for now, adventurer! May your journey be filled with excitement and triumph. Remember, I'm always here if you need guidance or just a friendly chat. Until we meet again, happy exploring!",0,0,0,0,0,0,0
neutral,neutral,I found a very big tree before returning here.,"Ah, discovering massive trees is always a sight to behold in Terraria! Some of them hide valuable treasures or unique secrets within their branches. Did you happen to explore it thoroughly? Perhaps there's more than meets the eye!",0,0,0,0,0,0,0
positive,happy,"I think I'll go back and explore it, hopefully I find some cool loot. Wish me luck!","Best of luck on your exploration! Those big trees can hold some surprising treasures. Keep an eye out for chests and hidden passages-they're often tucked away in the branches. With your determination, I'm sure you'll uncover something exciting. Happy adventuring!",0,0,0,0,0,0,0
positive,happy,"Also, I rescued someone who was stuck down there.","Bravo, hero! Rescuing NPCs is a noble deed in Terraria. They provide valuable services and trades once they settle in your village. Who did you rescue? Each NPC has unique abilities and items they can offer, so it's always beneficial to expand your village and help more NPCs find their way home. Your kindness will surely be remembered in these lands!",0,0,0,0,0,0,0
positive,happy,I don't know who that was.,"No worries! In Terraria, NPCs can be mysterious at first glance. To attract more of them to your village, you'll need to build suitable housing. Craft walls, a door, a chair, and a table to create a room that meets their needs. As you explore and rescue more NPCs, they'll bring unique trades and services that will aid you on your journey. Expand your village, adventurer, and watch it thrive!",0,0,0,0,0,0,0
positive,happy,They will stay with us?,"Absolutely! Once you provide them with a suitable home, NPCs will move in and make your village their permanent residence. Each NPC offers different services and trades, from selling useful items to providing crafting stations or even offering quests. As you rescue more NPCs and build more housing, your village will become a bustling hub of activity and support for your adventures in Terraria. Enjoy building your community!",0,0,0,0,0,0,0
positive,happy,"I will build then, how many rooms should I make?","That's the spirit! To start, you'll need at least one room per NPC you want to attract. Each NPC requires their own room with walls, a door, a chair, and a table. As you progress and rescue more NPCs, you'll need additional rooms to accommodate them all. Aim to have enough rooms ready so that when you encounter new NPCs during your adventures, they'll have a place to settle in your growing village. Happy building!",0,0,0,0,0,0,0
neutral,neutral,Is five rooms enough?,"Five rooms will be a good start and enough to attract a few NPCs to your village. Remember, different NPCs have different requirements for housing, so make sure each room meets the criteria: walls, a light source (like a torch or a lamp), a chair, and a table. As you continue your adventures and rescue more NPCs, you may need to expand your housing further to accommodate them all comfortably. Keep an eye out for new arrivals and adjust your building plans accordingly!",0,0,0,0,0,0,0
positive,happy,"ok, you are the best","Thank you, adventurer! Your kind words mean a lot. I'm here to assist you on your journey through Terraria, every step of the way. If you have any more questions or need guidance, don't hesitate to ask. Happy building and exploring!",0,0,0,0,0,0,0
neutral,neutral,It seems to be raining slimes.,"Ah, a slime rain! That's quite common in Terraria during certain weather events. While it may seem troublesome, it's a great opportunity to collect gel for crafting torches and other useful items. Stay alert and defend yourself-it's a slime-filled adventure out there!",0,0,0,0,0,0,0
neutral,neutral,Protect me!,"I wish I could, but my abilities are more about guiding and advising. Stay sharp and keep swinging that sword! You've got this!",0,0,0,0,0,0,0
neutral,neutral,What was that big slime?,"Ah, you've encountered a King Slime! It's a special boss slime that occasionally appears during slime rains or can be summoned using a Slime Crown. It's larger and tougher than regular slimes, so be prepared for a challenging fight. Defeating it can reward you with valuable loot and resources. Keep your distance, dodge its attacks, and strike when you see an opening!",0,0,0,0,0,0,0
positive,happy,"I could not kill it, is there any good weapons I can get right now?","Taking down the King Slime can be tough early on! To improve your chances, try crafting or finding a gold or platinum bow and gather some arrows. They can be effective at keeping your distance and dealing damage. Alternatively, if you have enough resources, crafting a silver or tungsten broadsword could give you more melee power. Also, keep an eye out for chests or underground loot-they often contain better weapons that can turn the tide in battles. Good luck, and don't give up!",0,0,0,0,0,0,0
neutral,neutral,I will go back to exploring then.,"Enjoy your exploration! Terraria is full of wonders and challenges waiting to be discovered. Take your time, gather resources, and prepare yourself for whatever the world throws at you. If you ever need more advice or assistance, feel free to return. Happy adventuring!",0,0,0,0,0,0,0
neutral,neutral,We have a visitor.,"How exciting! It seems another NPC has arrived to join your village. Check your housing to see who's moved in and what services they offer. NPCs can provide valuable items, quests, and crafting stations to aid you on your adventures. Welcome them warmly-they're sure to be a valuable addition to your Terraria community!",0,0,0,0,0,0,0
neutral,neutral,"He sells things, what should I buy?","It depends on what items he offers! NPCs in Terraria sell a variety of goods, from basic tools and potions to specialized equipment and rare items. Consider your current needs: Are you low on health potions? Do you need better weapons or armor? Perhaps he has unique items that could aid your exploration or enhance your abilities. Take a look at his inventory and prioritize items that will support your current goals in Terraria.",0,0,0,0,0,0,0
neutral,neutral,He seems to be a merchant.,"Ah, a merchant NPC! They typically sell a variety of useful items, such as basic tools, consumables like potions, and sometimes decorative items or rare accessories. Check out his inventory to see if there are any potions for health or mana that could help in battles, or tools that could improve your mining and building efficiency. Merchants often offer affordable goods that can be quite handy in your adventures.",0,0,0,0,0,0,0
positive,happy,Is there other things I should buy from the merchant?,"Absolutely! In addition to potions and basic tools, consider purchasing a Bug Net if he has one available. It allows you to catch critters like butterflies and worms, which can be used for fishing or crafting useful items. You might also want to invest in a Piggy Bank or Safe for storing extra coins and items safely. And don't overlook any special accessories or items he may offer-they could provide unique bonuses or abilities that enhance your gameplay. Happy shopping!",0,0,0,0,0,0,0
positive,happy,"Also, before I go, are there any good armors I can get?","Absolutely! In Terraria, upgrading your armor is crucial for surviving tougher enemies and bosses. Depending on the resources you've gathered, consider crafting armor sets like Iron or Lead for basic protection. If you've collected enough gold or platinum, those armors offer improved defense. Additionally, exploring underground can yield materials like Silver or Tungsten, which make sturdy armor sets. Prioritize crafting a full set of armor to maximize your defense and increase your chances of success in your adventures. Safe travels and happy crafting!",0,0,0,0,0,0,0
positive,happy,"Oh, I have some copper and other materials here. How can I turn them into armors?","Excellent! To craft armor, you'll need to use a workbench or anvil. Here's a step-by-step guide: Craft Bars: Head to a furnace and smelt your copper ore into copper bars. You'll need 15 bars for a full set of copper armor. Craft Armor Pieces: Once you have enough bars, go to a workbench or anvil. Select the copper armor set from the crafting menu. This includes a helmet, chestplate, and leggings. Equip Armor: After crafting the pieces, open your inventory and equip them in the armor slots. Remember, each type of armor (copper, iron, etc.) requires its respective bars to craft. As you progress and gather more resources, you can craft stronger armor sets for better defense. Happy crafting and enjoy your new armor!",0,0,0,0,0,0,0
positive,happy,"How do I get a furnace, workbench, and an anvil?","You're on the right track! Here's how to get each: Furnace: To craft a furnace, you'll need 20 stone blocks and 4 wood. Once you have these materials, head to a workbench (which you can make with 10 wood) and craft your furnace. Workbench: As mentioned earlier, craft a workbench using 10 wood. You'll need this to make other basic items and furniture. Anvil: Anvils can be found in underground structures like caves or can be crafted. To craft an anvil, you'll need 5 iron bars or 5 lead bars. Smelt iron or lead ore into bars using your furnace, then craft the anvil at a workbench. Place these items in your house to create a functional crafting area. They're essential for crafting weapons, armor, and other useful items as you explore Terraria. Happy crafting!",0,0,0,0,0,0,0
positive,happy,I can craft weapons with these materials too???,"Absolutely! Weapons are crucial for defending yourself and progressing through Terraria. Depending on the materials you have, you can craft various weapons at either a workbench or an anvil. Here's a quick overview: Workbench: Basic weapons like wooden swords, bows, and arrows can be crafted here using wood and other basic materials. Anvil: More advanced weapons such as swords, axes, and ranged weapons (like bows or guns) require bars of metal like iron, lead, or other ores you've smelted into bars. Experiment with different combinations of materials and see what weapons you can create! Each weapon has unique strengths and uses, so choose ones that suit your playstyle and the challenges you face in Terraria. Happy crafting and battling!",0,0,0,0,0,0,0
positive,happy,What are these stars that I have been collecting for?,"Those stars you've been collecting are Fallen Stars! They have multiple uses in Terraria: Mana Crystals: By collecting Fallen Stars and crafting them with bottles at a workbench, you can create Mana Crystals. Consuming a Mana Crystal permanently increases your maximum mana, allowing you to use more powerful magic weapons and spells. Star Cannon: Fallen Stars are also used as ammunition for the Star Cannon, a powerful ranged weapon that shoots stars at enemies. It's a rare and valuable weapon, so collecting stars can be useful even if you're not using magic. Keep collecting Fallen Stars whenever you see them fall from the sky at night-they're a valuable resource for enhancing your abilities in Terraria!",0,0,0,0,0,0,0
neutral,neutral,Can I kill you with this?,"In Terraria, NPCs like me can't be harmed by players or their weapons. We're here to assist you on your adventures and provide guidance, so feel free to ask any questions you have about the game. If you're exploring weaponry, there are plenty of foes in Terraria who will put up a fight against your arsenal!",0,0,0,0,0,0,0
neutral,neutral,that sucks,"I understand it can be disappointing if you were hoping for that kind of interaction! Rest assured, in Terraria, NPCs are here to help and provide valuable services. If there's anything else you need assistance with or questions about the game, feel free to ask.",0,0,0,0,0,0,0
neutral,neutral,"Just kidding, I will never kill you.","Haha, I appreciate the jest! In Terraria, NPCs are here to support you on your journey, not serve as targets. If there's anything else you'd like to know or explore in the game, I'm here to assist you. Happy adventuring!",0,0,0,0,0,0,0
neutral,neutral,I will protect you.,"Thank you for your kindness! While NPCs in Terraria are safe from harm, your dedication to protecting those around you is admirable. Your efforts in defending the realm from its many dangers will surely be appreciated by all. If you ever need advice or assistance on your adventures, I'll be here to help. Safe travels, adventurer!",0,0,0,0,0,0,0
neutral,neutral,But you still take damage though?,"Indeed, while NPCs like me can't be directly attacked by players, there are situations where we might take damage, such as during events like a Blood Moon or Goblin Army. However, fear not! NPCs have ways to protect themselves, and the village is usually well-defended. Your concern for our well-being is appreciated, adventurer! If there's anything else you'd like to know or explore, feel free to ask.",0,0,0,0,0,0,0
positive,happy,What is the blood moon and the goblin army?,"Ah, both the Blood Moon and the Goblin Army are challenging events in Terraria that can test your skills and defenses: Blood Moon: This event occurs randomly during nighttime. During a Blood Moon, zombies become more aggressive, new enemies like Dripplers and Blood Zombies may appear, and the spawn rate of enemies increases. It's a good opportunity to gather rare drops and unique items, but be prepared for tougher battles! Goblin Army: The Goblin Army event is triggered randomly or by using a Goblin Battle Standard item found underground. When summoned, waves of goblins and their siege machines will attack your village. Defeating them rewards you with valuable loot, including the Tinkerer's Workshop, which allows you to combine accessories. Prepare well with armor, weapons, and potions before facing these events, and bolster your defenses to protect your NPCs and yourself. Happy hunting, adventurer!",0,0,0,0,0,0,0
neutral,neutral,When will this happen?,"Both the Blood Moon and Goblin Army events occur randomly in Terraria. There's no specific time or trigger that you can control to predict when they'll happen. However, as you progress through the game and spend more time exploring and battling enemies, you'll likely encounter these events from time to time. Keep an eye out for the telltale signs, like a reddish hue for the Blood Moon or the arrival of goblin scouts for the Goblin Army. Be prepared, and good luck when facing these challenges!",0,0,0,0,0,0,0
neutral,neutral,"I will now prepare. See you later, my dude.","Farewell, adventurer! Take your time to prepare well for whatever challenges lie ahead. Whether it's gearing up for events or exploring new territories, Terraria awaits your return. If you ever need guidance or just want to chat, I'll be here. Safe travels and may your adventures be filled with excitement and triumph!",0,0,0,0,0,0,0
neutral,neutral,I now return with materials and loot.,Welcome back! It sounds like your expedition was successful. What did you discover out there? Feel free to share your findings or ask for any assistance you may need with crafting or using your new loot.,0,0,0,0,0,0,0
positive,happy,My health is now 260 thanks to these heart crystals.,"That's fantastic news! Heart Crystals are invaluable for increasing your maximum health in Terraria. With 260 health, you're better prepared to face tougher enemies and challenges. Keep collecting more Heart Crystals as you explore-they're scattered throughout the world and will continue to boost your health further. Stay strong and enjoy your enhanced vitality in your adventures!",0,0,0,0,0,0,0
neutral,neutral,"Also, I got this Wand of Sparking. It looks cool, is it good?","The Wand of Sparking is a basic magic weapon in Terraria, emitting small sparks that deal low damage to enemies. While it's a fun and early-game magic weapon, its effectiveness diminishes as you progress and encounter tougher foes. However, it can still be useful in certain situations, especially against weaker enemies or when conserving ammunition for other weapons. As you continue your journey, keep an eye out for more powerful magic weapons to bolster your arsenal!",0,0,0,0,0,0,0
neutral,neutral,"How about this spear, is it good?","Spears in Terraria can vary in effectiveness depending on their material and modifiers. Generally, spears have longer reach than swords and can hit enemies multiple times if they're close enough together. They're particularly useful against enemies that require keeping a distance. If your spear is made of a higher-tier material like iron, tungsten, or beyond, it will generally offer better damage and durability. Additionally, modifiers like ""Legendary"" or ""Godly"" can significantly enhance its effectiveness. Experiment with your spear and see how it performs against different enemies!",0,0,0,0,0,0,0
neutral,neutral,"How about this blowpipe, is it good?","The blowpipe in Terraria is primarily used as a ranged weapon that shoots various types of seeds and spores. Its effectiveness can vary depending on the ammunition used and the situation: Seeds: Basic ammunition that inflicts low damage but can be plentiful and cheap to acquire. Spores: More potent ammunition types like Stinger or Poisoned Spores can deal additional effects like poison damage, making them more effective against enemies with higher health pools. While the blowpipe may not be the most powerful weapon, it's useful for early-game ranged attacks and can be handy for conserving other ammunition types. As you progress, you may want to upgrade to more powerful ranged weapons like bows or guns for more damage output.",0,0,0,0,0,0,0
neutral,neutral,Is the boomerang good?,"The boomerang in Terraria is a versatile weapon with some unique characteristics: Melee and Ranged: It can be used both as a melee weapon when enemies are close and as a ranged weapon when thrown at a distance. Return Ability: After thrown, the boomerang returns to you, allowing for continuous use without requiring additional ammunition. Variants: There are various types of boomerangs in Terraria, each with different stats and effects. Some can be found or crafted with higher damage or special modifiers. Overall, the boomerang is a solid early-game weapon due to its versatility and reusable nature. It's effective against weaker enemies and can help conserve other ammunition types. However, as you progress and face tougher foes, you may want to upgrade to more powerful melee or ranged weapons for higher damage output.",0,0,0,0,0,0,0
neutral,neutral,I also got some throwing knives.,"Throwing knives are another type of ranged weapon in Terraria, and they offer several advantages: High Velocity: Throwing knives travel quickly towards their target, making them effective for hitting fast-moving enemies. Stackable: You can carry a large number of throwing knives in a single inventory slot, allowing for prolonged use without needing to restock. Piercing Ability: Some throwing knives have the ability to pierce through multiple enemies, dealing damage to all in their path. They're particularly useful in situations where rapid, precise strikes are needed or when conserving ammunition for other weapons. Experiment with different types of throwing knives to find ones that suit your playstyle and are effective against the enemies you encounter.",0,0,0,0,0,0,0
neutral,neutral,"I also got something very cool hehe, guess what it is?","Hmm, let's see... Perhaps you found a grappling hook! It's a versatile tool that allows you to easily traverse terrain and explore hard-to-reach places in Terraria. Grappling hooks are highly sought after for their utility and can be a game-changer in your adventures. What did you discover?",0,0,0,0,0,0,0
neutral,neutral,"No, even better! I got this step stool.","Ah, the Step Stool! That's a unique accessory in Terraria. It allows you to reach up to 4 tiles higher when standing still, which can be quite handy for reaching high places or building structures. It's great for exploration and building creatively. Keep it handy in your accessories slot and make the most of its unique ability. Enjoy your newfound tool, and may it serve you well in your adventures!",0,0,0,0,0,0,0
neutral,neutral,"Look at me, I'm taller than you now.","Haha, you've got a height advantage with that Step Stool! It's always good to see adventurers finding creative ways to overcome challenges in Terraria. Enjoy your elevated view and use it to discover new horizons. If there's anything else you'd like to explore or discuss, just let me know!",0,0,0,0,0,0,0
neutral,neutral,So should I just keep this loot or are crafted weapons from tungsten and platinum better?,"It depends on the specific loot you've found and the materials you have available. Generally, crafted weapons from metals like tungsten and platinum offer better stats and damage compared to basic loot drops. If you have enough tungsten or platinum bars, consider crafting weapons with them to upgrade your arsenal. Crafted weapons often come with modifiers that can further enhance their effectiveness, making them more reliable in battles against tougher enemies. However, unique loot items can sometimes have special effects or be used in crafting rare items later on, so it's worth considering their potential value as well. Evaluate your current equipment and choose the option that best suits your playstyle and current needs in Terraria.",0,0,0,0,0,0,0
neutral,neutral,What weapon type should I craft then?,"It depends on your playstyle! For melee, craft swords using materials like tungsten or platinum. For ranged, go for bows or guns made from similar materials. If you prefer magic, craft a staff or wand. For a strategic approach, try summoning weapons to call minions for support. Experiment to see what suits you best!",0,0,0,0,0,0,0
positive,happy,"Summoning weapons sound cool, which ones can I get as of right now?","Summoning weapons are awesome! Early on, you can get the Slime Staff from slimes or during a Blood Moon, and the Finch Staff from surface chests. Focus on increasing your minion slots with items like the Bewitching Table or Summoner Emblem to boost your summoning power. Happy summoning!",0,0,0,0,0,0,0
positive,happy,How about melee weapons?,"For melee, craft swords from tungsten or platinum. Try the Blade of Grass (Jungle Spores and Stingers) or Fiery Greatsword (Hellstone Bars). Axes and spears offer good reach and damage. Flails and yoyos hit multiple enemies; find or craft them from cobwebs and wood. Hamaxes combine axe and pickaxe functions, made from tungsten or platinum. Experiment to see what suits you best!",0,0,0,0,0,0,0
positive,happy,What about ranged weapons?,"For ranged weapons in Terraria, consider crafting a tungsten or platinum bow for good damage. Guns like the Musket (from the Dungeon) or the Minishark (from the Arms Dealer) offer rapid fire. Jesters Arrows (crafted with fallen stars and wooden arrows) or Hellfire Arrows (crafted with Hellstone Bars and wooden arrows) can provide additional damage types. Upgrade with meteor shots once you defeat the Brain of Cthulhu or Eater of Worlds for best results.",0,0,0,0,0,0,0
positive,happy,What are some good magic weapons?,"For magic weapons, try these: Diamond Staff (crafted with diamonds), Water Bolt (found in Dungeon Water Chests), Space Gun (from Skyware Chests, no mana cost with Meteor Armor), Demon Scythe (dropped by Demons), and Crystal Storm (dropped by Wyverns). Each has unique strengths, so experiment to find what suits you best!",0,0,0,0,0,0,0
positive,happy,"Look at me, I look cool with my platinum set.","That's awesome! The platinum armor set not only looks great but also provides solid defense against enemies in Terraria. As you continue your adventures, upgrading your armor sets will become crucial for tackling tougher challenges and exploring new areas safely. Enjoy the stylish upgrade and may it serve you well on your journey!",0,0,0,0,0,0,0
positive,happy,What are some good armors?,"Here are some top armor sets in Terraria: Meteor Armor (Meteorite Bars, boosts magic damage), Molten Armor (Hellstone Bars, high defense, melee crit), Jungle Armor (Jungle Spores and Stingers, mana boost, reduced usage), Shadow Armor (Shadow Scales from Eater of Worlds, balanced defense, speed), and Crimson/Corruption Armor (Tissue Samples/Demonite Bars, unique bonuses). Obtain them by crafting with specific materials or drops. Choose based on your combat style-magic, melee, or ranged-to enhance your abilities in Terraria's challenges!",0,0,0,0,0,0,0
positive,happy,Thanks!,"You're welcome! If you have any more questions or need further help, feel free to ask. Happy adventuring in Terraria!",0,0,0,0,0,0,0
positive,happy,What is fishing?,"Ah, fishing! It's a delightful and rewarding pastime in Terraria. By casting your line in various bodies of water, you can catch a variety of fish, which can be used for crafting, cooking, and even summoning special items. Fishing provides access to valuable resources like crates containing ores and potions, quest fish for the Angler NPC's rewards, and rare items like the Reaver Shark or the Zephyr Fish pet. Equip a fishing rod, gather some bait, and cast your line to see what treasures the waters of Terraria hold!",0,0,0,0,0,0,0
positive,happy,Is fishing worth doing?,"Absolutely! Fishing in Terraria can be highly rewarding. Not only can you obtain unique and rare items, but you can also acquire crates that contain valuable resources, including ores, potions, and even accessories. Additionally, completing fishing quests for the Angler NPC can net you exclusive rewards like powerful fishing gear, special mounts, and useful potions. Whether you're looking for a relaxing break from combat or aiming to gather resources efficiently, fishing is a worthwhile endeavor in your Terraria adventures!",0,0,0,0,0,0,0
positive,happy,How do I fish?,"Get a Fishing Rod: Craft or purchase a basic fishing rod, like the Wooden Fishing Pole, or find better ones as you progress, such as the Reinforced Fishing Pole or the Sitting Duck’s Fishing Pole. Collect Bait: Gather bait by catching critters like worms, fireflies, and butterflies with a Bug Net. You can also find bait in chests or purchase it from the Merchant. Find Water: Locate a body of water. The larger the pool, the better your chances of catching valuable fish. Cast Your Line: Equip your fishing rod, select your bait, and use the rod while facing the water. Your line will cast, and you’ll see a bobber. Wait for a Bite: Watch the bobber carefully. When it moves and sinks, indicating a bite, quickly reel in your line by using the rod again. Collect Your Catch: Check your inventory to",0,0,0,0,0,0,0
neutral,neutral,"A big red eye just appeared, what was that?","Ah, that's the Eye of Cthulhu! It's one of the first major bosses you'll encounter in Terraria. The Eye of Cthulhu can randomly spawn at night after you have at least 200 health and three NPCs living in houses. Be prepared for a challenging battle-it's fast, aggressive, and has multiple phases. Defeating it will reward you with valuable loot and progress your adventure further. Good luck, and may your skills and equipment serve you well in the fight!",0,0,0,0,0,0,0
neutral,neutral,Are the drops from that thing useful?,"Absolutely! The Eye of Cthulhu drops several valuable items that can aid you in your journey: Demonite Ore or Crimtane Ore: These ores are crucial for crafting powerful weapons and armor sets, depending on whether your world is Corruption or Crimson. Suspicious Looking Eye: This item allows you to summon the Eye of Cthulhu at will, giving you the opportunity to farm its drops or challenge yourself again. Mask or Trophy: These are cosmetic items that can be displayed in your house to showcase your victory over the Eye of Cthulhu. Defeating the Eye of Cthulhu not only progresses your character's strength but also opens up new possibilities for exploration and tougher challenges in Terraria. It's definitely worth taking on the boss when you feel prepared!",0,0,0,0,0,0,0
positive,happy,What are some other bosses I should keep in mind?,"For pre-Hardmode: King Slime, Eye of Cthulhu, Eater of Worlds, Brain of Cthulhu, Queen Bee, Skeletron. Hardmode includes Queen Slime, The Destroyer, The Twins, Skeletron Prime, Plantera, Golem, Duke Fishron, Empress of Light, Lunatic Cultist, and Moon Lord. Special events like the Torch God provide unique challenges. Each boss drops themed items and materials, advancing your Terraria adventure. Each boss provides unique challenges and rewards, adding layers of excitement to your Terraria journey. Happy hunting!",0,0,0,0,0,0,0
neutral,neutral,"What do you think, should I go for next?",Depending on your gear and goals: Prepare for Hardmode by defeating the Wall of Flesh. Explore the Underground Jungle for materials like Jungle Spores and Stingers. Challenge the Eater of Worlds or Brain of Cthulhu for ores. Explore Floating Islands for rare loot with a Grappling Hook. Improve your base for NPC arrivals. Choose based on your preferences and available resources to tackle Terraria's challenges.,0,0,0,0,0,0,0
neutral,neutral,Which boss should I kill next after the Eye of Cthulhu?,"After defeating the Eye of Cthulhu, consider these options: Eater of Worlds (Corruption) drops Shadow Scales. Brain of Cthulhu (Crimson) drops Tissue Samples. Queen Bee (Underground Jungle) drops Bee Wax and the Bee Gun. Skeletron (Dungeon) grants Dungeon access. Choose based on your world type and readiness. Each boss offers unique rewards to aid your progress in Terraria.",0,0,0,0,0,0,0
positive,happy,"Okay, wish me luck.",Good luck! May your skills and preparation lead you to victory against the next challenge you face in Terraria!,0,0,0,0,0,0,0
positive,happy,What is the Torch God?,"Ah, the Torch God! Not your usual boss, but quite intriguing. To summon it, place over 101 Torches underground. When enough are placed, they'll start shooting fireballs at you. Dodge and survive for Torch God's Favor, which auto-selects the best torch type for each biome. It’s a quirky challenge blending mundane tasks with unexpected events. Happy dodging!",0,0,0,0,0,0,0
positive,happy,What are the different biomes of Terraria?,"Ah, the diverse biomes of Terraria! Forest, Desert, Snow, Jungle, Underground Jungle, Underground, Cavern, Underworld, Ocean, Dungeon, Crimson, Corruption, Hallow, and the rare Shimmer biome. Each offers unique challenges and treasures. From serene forests to fiery underworlds, each biome promises adventure and surprises. Explore them all to uncover Terraria’s secrets!",0,0,0,0,0,0,0
